metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,reference_id,scenario_id,scenario_key,family,level_idx,level_factor,lead_steps,delay_steps,score_raw,score_oriented,base_score_oriented,score_gap,normalized_penalty,normalized_score
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__on_time,on_time,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__early_warning_l01,early_warning_l01,early_warning,1,0.25000000,4,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.90098978,0.90098978,1.00000000,0.09901022,0.10662639,0.89337361
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.75484036,0.75484036,1.00000000,0.24515964,0.26401808,0.73598192
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.50000000,0.50000000,1.00000000,0.50000000,0.53846154,0.46153846
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.24515964,0.24515964,1.00000000,0.75484036,0.81290500,0.18709500
adc,binary,False,TEM,PTDM,TEM/PTDM,r6_high_density,r6_high_density__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.09901022,0.09901022,1.00000000,0.90098978,0.97029669,0.02970331
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__on_time,on_time,on_time,0,0.00000000,0,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__early_warning_l01,early_warning_l01,early_warning,1,0.25000000,4,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,0.25000000,-0.25000000,-0.25000000,0.00000000,0.00000000,1.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.22916667,-0.22916667,-0.25000000,-0.02083333,-0.08333333,1.08333333
add,binary,True,TEM,TMEM,TEM/TMEM,r1_sparse_two_short,r1_sparse_two_short__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.21825397,-0.21825397,-0.25000000,-0.03174603,-0.12698413,1.12698413
